ResponseId,activity_type,battery,item,response,response_code,score,is_dont_know,source_column
R_MK0006588,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0009873,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0010513,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0011479,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0016269,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0020810,School club or lunchtime activity,outcomes,More knowledgable about STEM,I do not know,5,,True,Q15_1
R_MK0021392,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0028706,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0036376,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0040482,School club or lunchtime activity,outcomes,More knowledgable about STEM,No,4,1,False,Q15_1
R_MK0048618,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0056243,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0059808,School club or lunchtime activity,outcomes,More knowledgable about STEM,No,4,1,False,Q15_1
R_MK0061389,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0064312,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0065971,School club or lunchtime activity,outcomes,More knowledgable about STEM,No,4,1,False,Q15_1
R_MK0067782,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0075610,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0076859,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0077148,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0081775,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0085820,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0087342,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
