ResponseId,item,response,response_code,score,is_dont_know,source_column
R_MK0000627,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0001988,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0002347,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0003730,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0004719,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0006905,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0008384,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0009361,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0010793,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0011527,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0012224,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0013321,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0014269,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0017754,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0019133,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0020431,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0021482,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0022458,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0023977,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0025500,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0026571,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0027927,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0028258,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0029779,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0030633,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0031816,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0032287,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0033998,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0034390,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0035805,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0036231,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0037540,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0038406,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0039929,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0040419,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0041486,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0042213,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0043282,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0044213,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0045654,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0046112,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0047577,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
