ResponseId,activity_type,battery,item,source_column
R_MK0001265,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0001265,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0001265,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0001265,School club or lunchtime activity,skills,Design,Q16
R_MK0001265,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0006572,School club or lunchtime activity,skills,Leadership,Q16
R_MK0006572,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0007539,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0011453,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0011453,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0011453,School club or lunchtime activity,skills,Leadership,Q16
R_MK0011453,School club or lunchtime activity,skills,Design,Q16
R_MK0014994,School club or lunchtime activity,skills,Leadership,Q16
R_MK0014994,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0014994,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0017794,School club or lunchtime activity,skills,Communication,Q16
R_MK0019683,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0019683,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0019683,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0033442,School club or lunchtime activity,skills,Communication,Q16
R_MK0033442,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0033442,School club or lunchtime activity,skills,Design,Q16
R_MK0033442,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0042725,School club or lunchtime activity,skills,Communication,Q16
R_MK0042725,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0042725,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0046892,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0046892,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0046892,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0047788,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0049733,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0049733,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0049733,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0052388,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0052388,School club or lunchtime activity,skills,Leadership,Q16
R_MK0052388,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0052388,School club or lunchtime activity,skills,Design,Q16
R_MK0052388,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0062899,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0062899,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0062899,School club or lunchtime activity,skills,Design,Q16
R_MK0062899,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0062899,School club or lunchtime activity,skills,Problem solving,Q16
