ResponseId,question,source_column,response
R_MK0000230,Please specify what job adult 1 does,Q101,"Learning the science behind farming, which is what my family does."
R_MK0001786,Please specify what job adult 1 does,Q101,Testing the water in the creek near us and finding what was in it.
R_MK0002815,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0003322,Please specify what job adult 1 does,Q101,Organising my group and working out who did what.
R_MK0004990,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0006808,Please specify what job adult 1 does,Q101,Testing the water in the creek near us and finding what was in it.
R_MK0007232,Please specify what job adult 1 does,Q101,Testing the water in the creek near us and finding what was in it.
R_MK0008831,Please specify what job adult 1 does,Q101,The research part where we had to find real evidence.
R_MK0009333,Please specify what job adult 1 does,Q101,Making the poster and the model together.
R_MK0010575,Please specify what job adult 1 does,Q101,The coding part. I do a bit at home but this was harder.
R_MK0011791,Please specify what job adult 1 does,Q101,Finding out design is part of engineering too.
R_MK0012972,Please specify what job adult 1 does,Q101,Talking to the women in STEM about their actual day to day jobs.
R_MK0013180,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0014454,Please specify what job adult 1 does,Q101,Finding out design is part of engineering too.
R_MK0015550,Please specify what job adult 1 does,Q101,Organising my group and working out who did what.
R_MK0016956,Please specify what job adult 1 does,Q101,"Finding out health jobs are STEM jobs, I thought STEM was just computers."
R_MK0017380,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0018690,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0019930,Please specify what job adult 1 does,Q101,Doing the experiments myself instead of watching the teacher do it.
R_MK0020980,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0021933,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0022718,Please specify what job adult 1 does,Q101,"Designing how our project looked, not just how it worked."
R_MK0023668,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0025610,Please specify what job adult 1 does,Q101,Making the poster and the model together.
R_MK0026518,Please specify what job adult 1 does,Q101,Organising my group and working out who did what.
R_MK0027310,Please specify what job adult 1 does,Q101,Making the model with real tools. It felt like proper work.
R_MK0029377,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0030970,Please specify what job adult 1 does,Q101,"Programming the robot to move on its own, I'd never done that."
R_MK0031889,Please specify what job adult 1 does,Q101,The coding part. I do a bit at home but this was harder.
R_MK0032509,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0033335,Please specify what job adult 1 does,Q101,"Making a game, I didn't know you could learn that at school."
R_MK0034350,Please specify what job adult 1 does,Q101,"Making a game, I didn't know you could learn that at school."
R_MK0035441,Please specify what job adult 1 does,Q101,The mentor said she was first in her family to go to uni too.
R_MK0036107,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0037791,Please specify what job adult 1 does,Q101,Finding out design is part of engineering too.
R_MK0039933,Please specify what job adult 1 does,Q101,Making the model with real tools. It felt like proper work.
R_MK0040310,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0041373,Please specify what job adult 1 does,Q101,"Going to the university campus, I'd never been to one."
R_MK0043512,Please specify what job adult 1 does,Q101,Testing the water in the creek near us and finding what was in it.
R_MK0044485,Please specify what job adult 1 does,Q101,"Making a game, I didn't know you could learn that at school."
R_MK0045791,Please specify what job adult 1 does,Q101,The excursion where we surveyed the wetlands.
R_MK0047188,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0049894,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0051347,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0052338,Please specify what job adult 1 does,Q101,The mentor said she was first in her family to go to uni too.
R_MK0053831,Please specify what job adult 1 does,Q101,The video call with the scientist who works with livestock.
R_MK0054762,Please specify what job adult 1 does,Q101,"Learning the science behind farming, which is what my family does."
R_MK0055948,Please specify what job adult 1 does,Q101,Making the poster and the model together.
R_MK0056163,Please specify what job adult 1 does,Q101,Getting to do it here instead of travelling to the city.
R_MK0057596,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0058290,Please specify what job adult 1 does,Q101,Testing the water in the creek near us and finding what was in it.
R_MK0059929,Please specify what job adult 1 does,Q101,The video call with the scientist who works with livestock.
R_MK0060697,Please specify what job adult 1 does,Q101,We made something for our town that people could actually use.
R_MK0061886,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0062803,Please specify what job adult 1 does,Q101,The mentor said she was first in her family to go to uni too.
R_MK0063234,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0064858,Please specify what job adult 1 does,Q101,The excursion where we surveyed the wetlands.
R_MK0065636,Please specify what job adult 1 does,Q101,The mentor said she was first in her family to go to uni too.
R_MK0067519,Please specify what job adult 1 does,Q101,The coding part. I do a bit at home but this was harder.
R_MK0068175,Please specify what job adult 1 does,Q101,"Programming the robot to move on its own, I'd never done that."
R_MK0070451,Please specify what job adult 1 does,Q101,"Learning the science behind farming, which is what my family does."
R_MK0071612,Please specify what job adult 1 does,Q101,The video call with the scientist who works with livestock.
R_MK0072575,Please specify what job adult 1 does,Q101,"Designing how our project looked, not just how it worked."
R_MK0073180,Please specify what job adult 1 does,Q101,"Getting to build something that actually worked, not just learn about it."
R_MK0075585,Please specify what job adult 1 does,Q101,Doing the experiments myself instead of watching the teacher do it.
R_MK0076253,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0077994,Please specify what job adult 1 does,Q101,"Learning the science behind farming, which is what my family does."
R_MK0078844,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0080769,Please specify what job adult 1 does,Q101,Finding out design is part of engineering too.
R_MK0081259,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0083803,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0085577,Please specify what job adult 1 does,Q101,"Learning the science behind farming, which is what my family does."
R_MK0086182,Please specify what job adult 1 does,Q101,The coding part. I do a bit at home but this was harder.
R_MK0087310,Please specify what job adult 1 does,Q101,"Programming the robot to move on its own, I'd never done that."
R_MK0088320,Please specify what job adult 1 does,Q101,"Programming the robot to move on its own, I'd never done that."
R_MK0089770,Please specify what job adult 1 does,Q101,"Using the 3D printer, I didn't know our school had one."
