ResponseId,StartDate,Finished,region,gender,language_other_than_english,birth_year,is_school_student,school,school_level,adult1_occupation,adult2_occupation,activities_selected,pathway,n_activities,did_gals
R_MK0000627,2026-09-21 15:15:00,True,Bendigo,Female,No,2011,Yes,Kangaroo Flat PS,Year 9,Prefer not to say,"Business, Finance, Management, & Legal","Tech school programs,University programs,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,False
R_MK0001988,2026-09-26 09:26:00,True,Warnambool,Female,No,2017,Yes,Merri River PS,Year 6,Self-Employed / Small Business Owner,Other,"Girls as Leaders in STEM program,Online STEM activities",School student,2,True
R_MK0002347,2026-10-04 13:51:00,False,Ballarat,Male,No,2012,No,"Programming the robot to move on its own, I'd never done that.",Year 10,"Public Service, Police, Fire, & Emergency Services","Technology, IT, & Digital Systems",School club or lunchtime activity,Post-school,1,False
R_MK0003730,2026-09-28 15:26:00,True,Bendigo,Female,No,2011,Yes,Bendigo South SC,Year 5,"Administration, Office Support, & Desk Roles","Technology, IT, & Digital Systems","School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0004719,2026-10-12 12:20:00,True,Ararat,Male,Yes,2017,Yes,Ararat SC,Year 9,"Home Duties, Homemaking, & Full-Time Caregiving","Education, Training, & Childcare","School club or lunchtime activity,University programs,Online STEM activities",School student,3,False
R_MK0005596,2026-09-26 12:20:00,True,Gippsland,Female,No,2016,No,Talking to the women in STEM about their actual day to day jobs.,Year 9,"Business, Finance, Management, & Legal","Healthcare, Nursing, & Medical Services","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Girls as Leaders in STEM program",Post-school,5,True
R_MK0006905,2026-09-14 13:46:00,True,Warnambool,Female,No,2011,Yes,Warrnambool West PS,Year 9,"Retail, Sales, & Customer Service","Education, Training, & Childcare","School club or lunchtime activity,Tech school programs,Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,6,True
R_MK0007888,2026-09-18 14:29:00,True,Geelong,Female,No,2010,Yes,Waurn Ponds PS,Year 8,"Retail, Sales, & Customer Service",Other,"Girls as Leaders in STEM program,Online STEM activities",School student,2,True
R_MK0008384,2026-09-27 13:25:00,True,Bendigo,Prefer not to say,No,2018,Yes,Eaglehawk PS,Year 10,"Retail, Sales, & Customer Service","Home Duties, Homemaking, & Full-Time Caregiving","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup)",School student,3,False
R_MK0009361,2026-10-07 10:14:00,True,Ballarat,Male,No,2014,Yes,Sebastopol PS,Year 9,"Education, Training, & Childcare","Logistics, Driving, Delivery, & Warehousing","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,7,False
