ResponseId,question_group,question,item,multi_select,source_column
R_MK0000627,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0000627,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0001988,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0001988,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0004719,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0004719,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0006905,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0006905,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0006905,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0006905,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0006905,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0007888,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0007888,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0008384,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0009361,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0009361,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0009361,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0010793,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0010793,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0010793,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0010793,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0011527,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0011527,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0011527,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0011527,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0011527,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0012224,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0013321,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0014269,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0014269,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0014269,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0014269,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0017754,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0017754,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0017754,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0017754,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0017754,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0018536,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0019133,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0019133,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0019133,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0020431,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0020431,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0020431,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0020431,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0020431,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0020431,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0021482,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0021482,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0022458,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0022458,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0022458,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0022458,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0022458,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0022458,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0022458,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0023977,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0023977,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0023977,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0023977,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0024720,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0025500,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0025500,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0025500,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0028258,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0028258,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0028258,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0030633,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0030633,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0030633,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0035805,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0035805,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0035805,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0035805,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0035805,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0038406,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0038406,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0041486,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0042213,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0042213,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0042213,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0042213,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0042213,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0044213,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0044213,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0044213,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0044213,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0044213,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0045654,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0045654,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0045654,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0045654,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0046112,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0046112,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0046112,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0046112,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0046112,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0047577,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0047577,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0048957,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0048957,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0048957,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0048957,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0048957,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0048957,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0048957,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0049860,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0050307,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0050307,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0050307,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0051679,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0051679,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0051679,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0051679,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0051679,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0054499,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0054499,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0054499,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0055692,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0055692,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0055692,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0056412,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0056412,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0056412,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0057690,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0057690,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0057690,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0059350,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0059350,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0059350,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0059350,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0060505,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0060505,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0060505,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0061473,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0061473,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0062875,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0062875,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0062875,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0063584,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0064579,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0064579,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0064579,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0064579,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0064579,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0065610,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
